"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"2202"," 3.364309e+01","-1.121873e+02","APS","258","2449","1252","2520","2452","2352","4389","6097","3338","256","5855","4099","1502","2199","1575","3328","1571","4950","4388","3337","1572","4100","1577","3326","4103","5853","2451","3335","2200","3332","3330","2450","1249","1574","5854","6098","253","4387","2201","2345","2349","3327","457","1250","4098","2882","3336","456","4949","1576"
"2203"," 3.311569e+01","-1.170892e+02","CA","4531","2186","4529","527","4530","4049","45","2187","4047","2184","4048","2185","4046","4045","922","955","920","5521","921","5522","4935","918","2664","919","5520","5775","5776","5523","5777","5524","2665","5442","3512","5706","5803","5702","5704","5804","5805","1687","2486","5705","5806","5703","5778","5779","3407","3406","1801","4293"
"2204"," 3.865840e+01","-1.211364e+02","CA","5656","2791","879","3022","3925","2928","5169","5106","2927","2402","3023","5170","2925","3926","2749","2043","4696","2930","2811","2926","5529","2931","4695","5749","2929","5167","2042","294","2932","5168","28","115","5239","5748","5688","5594","1503","5118","1541","3560","4944","5438","4907","2484","4945","1953","4908","4906","4909","5684"
"2205"," 4.242861e+01","-1.230436e+02","PACW","5905","5386","5904","4788","4688","354","709","5903","2000","2583","3373","3597","4621","2291","343","3877","4687","4789","4320","5387","1803","3376","710","4295","555","4323","3372","3374","586","5431","495","160","1617","3696","3399","4310","5218","2088","4654","585","790","5596","355","378","4610","5385","3878","204","422","2905"
"2206"," 4.160342e+01","-1.121606e+02","PACE","5786","1158","4318","638","2261","2491","2492","347","345","346","1414","1938","1276","2740","2737","2739","1277","1275","436","2852","5002","3845","689","4589","5001","5826","2272","3787","2273","3125","262","5906","263","625","269","3964","271","270","5899","2269","3965","2002","3966","4901","4903","4902","3722","2736","3714","3715"
"2207"," 3.532012e+01","-1.206928e+02","CA","4039","4038","4475","1975","4477","3251","3250","5740","4474","4473","4476","5744","3252","1981","5741","2696","215","2669","5760","2208","2670","1105","6007","6008","4028","453","2726","2727","448","451","1731","4712","450","1732","2358","449","4415","5187","3776","3775","1160","452","4710","5189","2329","4414","2357","1159","4709","5188"
"2208"," 3.532012e+01","-1.206930e+02","CA","4038","1975","5744","4476","5740","3251","4475","3250","4039","2696","5741","4477","2669","215","4474","1105","1981","2670","3252","4473","2207","4028","5760","2727","6007","1731","6008","2726","5187","1732","5189","450","4415","4414","4712","449","1160","448","451","5249","453","3776","3775","2358","5188","4709","452","1159","4710","2641"
"2209"," 3.446879e+01","-1.198843e+02","CA","2211","2214","2212","2213","1839","2210","1836","1835","1828","1831","1827","1841","1833","1838","1829","1837","1832","1687","3649","1834","3648","1830","5442","1826","3650","3651","5408","5407","3512","5406","919","920","4935","922","918","955","921","3507","3506","3617","3508","1015","4047","4046","4045","4048","527","4049","2187","2185"
"2210"," 3.446871e+01","-1.198842e+02","CA","2212","2213","2211","2214","2209","1835","1839","1828","1831","1827","1837","1841","1833","1830","1687","1836","1829","1838","1832","5442","3649","1834","1826","3651","3650","5408","3648","922","5407","920","5406","918","4935","955","3512","921","919","3507","3506","3508","3617","1015","4048","4047","4046","527","2185","2187","4529","4045"
"2211"," 3.446863e+01","-1.198843e+02","CA","2209","2214","2212","2210","1835","2213","1827","1829","1833","1831","1836","1828","1839","1837","1841","1838","1687","1830","1832","1834","3512","920","5442","3649","1826","5408","5407","3651","919","3648","4935","3650","955","922","5406","921","918","3507","3508","3617","3506","4046","1015","4047","4045","4048","2184","4049","527","2187"
"2212"," 3.446863e+01","-1.198844e+02","CA","2210","2209","2211","2214","1831","2213","1836","1833","1841","1838","1828","1829","1835","1837","1827","1832","1839","3650","3649","1830","3648","5407","1834","1826","1687","5408","3651","5442","5406","920","3512","4935","918","922","955","919","921","3507","3506","3508","3617","1015","4046","4047","4048","4045","2185","527","45","4049"
"2213"," 3.446871e+01","-1.198845e+02","CA","2210","2209","2212","2211","2214","1839","1837","1827","1828","1831","1841","1833","1836","1835","1830","1687","1829","1838","5442","3649","3648","1832","1834","3512","5407","1826","5406","920","3651","918","3650","5408","4935","919","955","922","921","3507","3506","3508","3617","1015","2185","4048","4047","4046","4049","4045","527","2187"
"2214"," 3.446879e+01","-1.198844e+02","CA","2209","2211","2212","2210","2213","1838","1835","1833","1831","1827","1841","1687","1828","1839","1829","1836","5442","1832","1830","1837","1834","3649","3650","1826","4935","3648","5407","3512","3651","922","5408","955","920","921","918","919","5406","3507","3508","3506","3617","4047","4048","4046","1015","4045","2187","527","2184","45"
"2215"," 3.933659e+01","-1.148073e+02","NV","3491","3828","234","2217","3226","1754","3656","1753","233","3489","2038","4490","4209","603","3655","1751","3830","4932","3826","3314","605","702","1881","3825","3437","1752","3863","575","2216","3670","3829","3827","2031","576","3440","5179","3439","4981","1226","4933","2166","2032","4980","2164","5180","3441","5177","4210","606","3864"
"2216"," 3.933651e+01","-1.148073e+02","NV","1753","702","3489","3826","2215","3491","3828","233","3829","4208","234","3226","4490","4209","3655","3830","3314","3656","3827","1752","2217","1751","1754","3864","3670","3825","4981","4210","3669","4933","4207","3863","4211","603","1881","2031","3441","5179","4088","4489","4932","5761","1227","5177","2166","605","2164","3439","4980","1226"
"2217"," 3.933651e+01","-1.148074e+02","NV","2215","3491","1753","3489","234","3826","3226","3655","4209","4210","702","3830","3828","1752","4207","1754","233","3825","1751","3829","4490","4489","2216","3656","4208","576","5179","2166","3670","3314","4932","4980","4933","3439","2032","5177","2038","603","2164","4981","1881","5178","605","5180","2031","3863","3441","1226","3437","4087"
"2218"," 3.650885e+01","-1.214469e+02","CA","1237","782","5215","3659","5214","2398","5989","780","1413","2220","2219","6119","3658","5902","5425","4197","779","5901","492","5240","3847","3657","3009","5216","3007","2027","5991","3008","3010","781","5990","1007","425","3682","2147","4196","5876","4198","2026","1005","5900","6114","6115","1006","6116","2148","4349","2822","4348","6118"
"2219"," 3.650885e+01","-1.214470e+02","CA","1237","3658","5240","5215","782","3008","5901","4198","781","5989","3847","2220","2218","2026","492","6119","5216","779","3657","2398","780","3659","5425","5990","5900","5902","3682","425","2147","1413","6114","5991","6116","5877","4349","2027","6118","6115","6117","4197","4196","4348","5214","1005","5041","3007","5042","1008","3010","1006"
"2220"," 3.652902e+01","-1.214143e+02","CA","5989","2398","4198","1237","5900","3847","5901","5991","3008","2218","2219","780","1413","425","5902","779","3010","4196","781","5990","3657","3682","5215","6119","6118","3659","3009","5216","5425","2027","6114","3658","492","4348","3007","4197","1008","5877","5875","5039","5240","5876","5214","782","4669","2026","5041","6115","5042","1006"
"2221"," 4.578386e+01","-1.205326e+02","PACW","2049","2099","4637","2158","5360","5237","4564","4428","3025","5236","5048","5054","24","3603","2155","3354","2444","5354","2742","479","4007","5963","3906","4571","5056","1074","2694","5376","598","2514","4307","2544","1011","1012","5271","2867","2159","4448","79","2837","5614","2047","80","5674","2029","5668","3612","6070","3355","4449"
"2222"," 3.584042e+01","-1.154330e+02","NV","557","2426","3773","4948","2490","1907","2996","4340","3711","5018","4381","175","5375","3634","2603","2558","137","311","2351","4227","2427","5939","3842","1089","1736","3701","2315","4488","4573","4926","4386","5461","876","1605","2276","4058","5818","2650","2036","828","996","5444","4322","5936","4968","1490","2281","4600","5569","3615"
"2223"," 3.822694e+01","-1.218436e+02","CA","4422","3289","4937","3644","2150","4938","5292","2073","3645","4308","5132","88","1978","240","3310","4939","2477","2464","356","113","1544","5731","5392","5501","87","5134","5829","1979","111","4691","978","3029","2465","2314","4485","4715","707","4150","5573","981","690","5498","1004","5255","5414","153","5111","239","4152","5393"
"2224"," 4.754278e+01","-1.220636e+02","PSE","3216","2044","3122","95","5000","2798","3811","4900","374","515","3270","3633","4874","3011","243","182","1781","570","4022","5725","5261","3974","4004","4855","166","5083","1854","2859","1010","5089","4553","5844","4872","859","3632","2870","597","3786","4068","544","1287","2343","6110","4563","181","2087","1871","1238","4701","2967"
"2225"," 4.107417e+01","-1.119575e+02","PACE","4540","5256","5257","4431","1177","438","5324","1690","1689","6071","437","4587","5326","5325","4588","5328","5356","4432","439","3028","5323","3774","1868","1867","1634","1866","5860","1869","5679","5861","5862","3260","3596","5849","1728","1729","4202","5","4203","4204","3798","5920","4205","1374","4273","4234","298","217","4617","6082"
"2226"," 3.480140e+01","-1.188189e+02","CA","3760","4005","62","954","1661","1666","1662","1657","1668","1664","1659","1660","1665","1658","1667","1663","1656","1655","1669","3810","5126","5125","5124","5127","2157","1764","172","3587","3548","3547","697","698","4451","4452","4455","4453","4454","5527","106","107","5526","108","105","5528","5739","5735","5736","5738","5737","1215"
"2227"," 3.560160e+01","-1.195797e+02","CA","3292","4170","3291","3293","2148","2855","3295","2830","1460","5506","6000","261","2854","6001","4301","5999","5859","1461","2421","2147","2853","5998","2822","2338","2339","4188","2334","2999","2502","1484","2998","1986","4198","4889","492","1987","1237","782","3541","3546","4197","3545","779","3571","780","4196","4606","5900","5630","5902"
"2228"," 4.330933e+01","-1.121213e+02","PACE","3668","2763","336","876","3422","2693","4948","5933","176","2996","2752","2061","2840","2281","4680","3207","2666","1607","175","3635","3872","4227","2650","2810","3994","4573","4332","5461","1976","3852","3842","5017","2326","5201","5466","4333","3634","4488","758","3131","3711","3415","3855","2604","311","3049","2801","941","4574","1779"
"2229"," 4.330933e+01","-1.121214e+02","PACE","5995","3566","2747","4057","1945","5993","3565","5994","2748","140","4056","956","3365","5284","4055","6038","5321","4054","5285","2550","2004","3552","5443","1124","352","3553","44","2080","5075","5074","2079","2244","2239","2243","2241","2242","2240","3157","3240","3239","3947","3946","3949","3948","3966","2002","3965","3964","3125","2273"
"2230"," 4.398556e+01","-1.230108e+02","PACW","2721","2777","32","2393","29","2969","2940","1086","2778","1225","599","958","3674","30","2942","2924","2968","3284","1760","2754","2720","31","1136","3676","1685","4833","2939","3673","1457","5329","2941","3675","3119","5182","5181","957","1145","2493","3214","4408","600","2652","5571","1144","3697","5330","3967","3350","3118","1726"
"2231"," 4.398556e+01","-1.230109e+02","PACW","1691","3755","5866","3758","5120","5090","1267","5092","3756","5091","882","4245","633","3751","3116","3366","3269","5390","3757","2415","5871","3754","3285","5298","1263","5093","1265","2730","1264","5394","5293","3753","1500","2234","5395","3752","1108","1266","4228","752","2911","2910","2371","3808","1278","5799","2908","2909","2907","3041"
"2232"," 3.422146e+01","-1.181870e+02","CA","4394","3255","2233","3257","3258","680","4315","5389","4801","3254","3256","4033","4762","3253","4800","5909","4682","5732","1407","1408","1406","1560","1561","609","608","607","5398","5416","4140","4139","4134","4136","4135","4138","4133","727","4137","5945","4141","2657","2658","3663","3661","119","2656","3662","4132","2933","4063","4846"
"2233"," 3.422146e+01","-1.181871e+02","CA","680","2232","3255","4394","5389","4033","3258","4801","3256","3257","4762","3254","4315","4682","4800","5909","3253","1407","5732","1406","1408","1560","1561","609","607","5398","608","5416","4140","4139","4134","4135","4136","5945","4138","727","4133","4137","3663","2657","119","4141","2658","2656","3662","3661","4132","2933","4063","4846"
"2234","-3.199598e-05"," 3.823551e-04","PACE","2415","5394","5090","3756","5091","633","1691","3753","3269","5871","1500","3116","5093","3752","3751","1108","3366","3757","882","5395","5866","5390","2730","1266","3755","5092","5120","3285","5293","1267","5298","4245","2231","3758","3754","1263","4228","1264","1265","752","2910","2371","5799","1278","3808","2909","2908","2911","2372","2907"
"2235"," 3.314487e+01","-1.126763e+02","APS","4390","2236","2237","4346","815","817","4238","407","814","48","4392","4345","4391","59","5770","1351","816","5769","869","2238","4239","5768","5767","2094","2095","2097","2096","2098","5447","2411","5262","675","674","670","671","672","673","3174","3175","4971","4972","4973","4970","4440","4361","4364","4365","4363","4441","4362"
"2236"," 3.314470e+01","-1.126763e+02","APS","4238","2235","4391","4346","2238","4390","4392","2237","4345","5770","5767","4239","48","59","817","815","816","869","407","5769","5768","814","1351","2094","2097","2096","2095","2098","5447","5262","2411","675","674","672","670","671","673","3174","3175","4971","4972","4970","4973","4361","4365","4364","4440","4363","4362","4441"
"2237"," 3.314470e+01","-1.126765e+02","APS","4390","2235","2236","2238","4391","4392","1351","48","59","5770","814","4346","4238","4345","816","869","817","407","815","5769","5767","5768","4239","2095","2094","2097","2098","2096","5447","2411","5262","675","674","670","672","671","673","3174","3175","4971","4970","4972","4973","4440","4361","4365","4364","4441","4363","4362"
"2238"," 3.314487e+01","-1.126765e+02","APS","2236","4346","5770","2237","4391","4390","4392","4238","4345","48","815","5768","407","2235","1351","817","816","4239","5767","59","814","5769","869","2094","2095","2098","2097","2096","5447","2411","5262","675","674","670","671","672","673","3174","3175","4971","4972","4970","4973","4361","4440","4364","4363","4365","4441","4362"
"2239"," 4.257616e+01","-1.117439e+02","PACE","2240","2242","2244","2241","2243","3240","5074","2079","3239","5075","2080","3947","3949","3946","3948","44","3553","352","5443","1124","3552","2004","3966","3965","2002","3964","3125","2273","2272","3787","5001","5826","689","4589","5002","3845","2747","2748","2229","436","5993","5994","1945","5995","3365","3565","3566","4057","2550","1275"
"2240"," 4.257608e+01","-1.117438e+02","PACE","2239","2244","2241","2242","2243","3239","3240","2079","5074","5075","2080","3947","3946","3949","3948","5443","3553","44","1124","352","3552","2004","3966","2002","3965","3964","3125","2273","2272","3787","5001","5826","4589","689","3845","5002","436","2747","2748","2229","5994","5993","5995","1945","1275","1277","3365","3565","3566","1276"
"2241"," 4.257608e+01","-1.117440e+02","PACE","2240","2244","2242","2243","2239","2079","5074","2080","3240","5075","3239","3947","3946","3949","3948","44","352","5443","3553","1124","3552","2004","3966","2002","3965","3964","3125","2272","2273","3787","5001","5826","689","4589","3845","5002","2747","2748","2229","436","5994","5993","5995","1945","3365","3566","3565","4057","1275","2550"
"2242"," 4.253616e+01","-1.117938e+02","PACE","2239","2244","2240","2243","2241","2079","3239","3240","5074","5075","2080","3947","3946","3949","3948","5443","352","44","3553","1124","3552","2004","3966","2002","3965","3964","3125","2273","2272","3787","5001","5826","4589","689","3845","5002","2747","2748","436","2229","5993","5994","5995","1945","3365","3565","3566","1277","1275","4057"
"2243"," 4.253608e+01","-1.117937e+02","PACE","2244","2240","2242","2241","2239","5074","2079","3240","5075","3239","2080","3947","3949","3946","3948","3553","5443","44","352","1124","3552","2004","3966","2002","3965","3964","3125","2272","2273","3787","5001","5826","4589","689","3845","5002","2748","2747","2229","436","5995","5993","5994","1945","3365","3565","3566","4057","1277","4054"
"2244"," 4.253608e+01","-1.117939e+02","PACE","2243","2242","2240","2241","2239","2079","5074","5075","2080","3240","3239","3947","3946","3949","3948","3553","5443","352","44","1124","3552","2004","3966","2002","3965","3964","3125","2273","2272","3787","5001","4589","5826","689","3845","5002","2747","2748","5993","2229","5994","5995","1945","3365","3565","3566","436","4057","4056","4054"
"2245"," 3.823108e+01","-1.215903e+02","CA","5165","2946","2483","567","2246","1099","5166","2481","1109","2829","5399","2482","5246","2824","2823","1445","93","3303","2794","1100","3769","5247","5400","4910","1761","1111","1110","2255","3302","3768","1125","3301","4748","1415","999","4750","3767","2390","4337","6010","348","4751","1412","4749","6011","1000","2391","5344","5837","6126"
"2246"," 3.823108e+01","-1.215904e+02","CA","1099","2483","5166","2829","567","2946","5247","93","4910","2245","2824","1445","5399","5400","1109","2481","3769","5165","1110","2482","5246","1100","2823","1111","3303","3768","4337","1125","2794","1761","1415","6010","3302","3767","3912","2255","4750","348","3301","6011","999","2391","6105","4684","4749","3911","1856","4748","2390","6106"
"2247"," 4.630356e+01","-1.198743e+02","PACW","2539","5290","1138","1882","5348","729","2316","4396","4424","2406","4235","3143","3989","299","6096","887","1378","5300","506","892","5557","4015","4941","4246","2733","5967","532","3188","2298","3300","895","5464","4313","1971","771","4292","5682","894","896","3896","1244","1137","2689","5299","2011","531","728","5446","1243","4905"
"2248"," 4.625917e+01","-1.199053e+02","PACW","2539","5299","729","3896","1882","5445","6096","2298","2406","5446","895","1550","5300","5396","1137","4313","2733","2011","3143","4396","3188","2247","1705","2689","4591","887","4424","1378","1245","2316","5290","4091","532","2885","1318","506","4934","4622","5464","3300","1704","728","892","465","5308","893","5801","4015","3594","924"
"2249"," 4.069278e+01","-1.119583e+02","PACE","5402","4083","1982","2758","1373","3937","11","5880","2806","4082","3304","5294","3362","2250","3936","2381","1758","3595","1168","5401","2973","5665","3585","5885","5420","1","4977","4843","1636","883","4947","4081","2380","4080","3363","2065","1438","5701","13","2063","778","2903","5882","4494","109","2599","4844","1364","2060","5422"
"2250"," 4.069278e+01","-1.119584e+02","PACE","3304","3937","5880","640","1939","2249","1439","1982","778","5294","3936","5701","5402","4843","4080","4083","2806","883","2380","5664","2381","1","4081","2599","4517","5423","1438","11","2757","1958","2973","1168","3363","719","4494","5884","4619","13","3958","4977","5885","5401","723","4963","2903","4607","1026","260","2065","2531"
"2251"," 3.280447e+01","-1.169209e+02","CA","2103","2254","2252","972","1180","2901","5640","2253","2902","2102","1692","3899","2105","5642","3900","2104","971","2881","5641","5270","3020","5643","1775","3021","3409","1776","3408","3410","5700","5766","1774","5765","3387","3385","3386","3388","1393","1389","1392","5514","4605","5515","5513","4187","5516","4604","4186","2746","2745","4737"
"2252"," 3.280447e+01","-1.169208e+02","CA","1180","1692","2103","3899","5641","2901","2251","2104","971","2102","5640","2105","2902","3900","2254","5643","5270","5642","2253","2881","972","3020","1775","5765","5766","5700","3408","3021","3409","1776","3410","3387","1774","3385","3386","3388","1393","1389","1392","5513","5514","5515","5516","4604","4605","2746","2745","4186","2744","4187"
"2253"," 3.280438e+01","-1.169209e+02","CA","2901","5640","2251","2902","2103","2254","5270","2252","2104","3899","2102","3900","1180","1692","5641","5643","5642","2881","971","972","3021","2105","3020","3408","1775","5700","1776","5766","3410","3385","1774","5765","3409","3387","3388","3386","1393","1389","1392","5513","4604","5515","5514","4605","5516","4187","4186","2746","2745","4737"
"2254"," 3.280447e+01","-1.169210e+02","CA","2251","5640","2902","2103","2901","2252","2104","1180","3900","2253","5643","2105","1692","5641","5642","971","2102","3899","972","2881","5270","3021","3020","5765","1775","3409","5766","5700","3410","3408","1776","1774","3387","3385","3386","3388","1393","1389","1392","5515","5513","4605","5514","5516","4604","2746","2745","4187","4186","4735"
"2255"," 3.767099e+01","-1.221601e+02","CA","1125","3301","3302","3303","2483","4748","2481","5399","5246","5343","5166","4751","4750","5165","2946","4749","2391","2390","567","5247","5344","2245","5837","1412","5400","1000","5346","2865","2246","2829","999","1942","1099","2824","6036","2482","4497","6123","5660","4496","1931","1100","3056","1445","6037","4498","5345","6035","3057","2414"
"2256"," 4.457967e+01","-1.232795e+02","PACW","4698","3969","4408","2961","5847","549","3333","2652","5571","548","3350","592","1970","5197","3616","4031","1225","3792","3351","5232","2508","5666","3214","5851","5848","3058","2493","5004","3213","5968","4407","3284","4993","2660","3307","5757","1317","4799","1316","1457","5233","600","1727","3306","3967","1050","2299","3674","1282","4030"
"2257"," 4.457967e+01","-1.232797e+02","PACW","1970","3350","1050","2660","3616","5851","4697","3214","2960","3351","5196","5666","2493","3969","592","1225","5968","4407","2494","5232","3968","3333","5757","1316","3792","5571","4799","4992","3790","4030","549","2652","2961","3305","599","1282","3213","3676","3284","2968","2725","3675","1727","1726","1056","3967","548","2299","2508","5233"
"2258"," 4.060083e+01","-1.124775e+02","PACE","1","883","110","626","3304","2753","4405","4080","5880","5665","4976","5663","3363","4844","5865","5884","1171","2381","1492","2806","4977","4518","4083","1168","109","5504","4713","1758","1982","2380","2249","778","5883","1438","4963","5885","3936","3937","1373","5882","2599","1491","4404","1958","2904","4947","5101","738","5422","5956"
"2259"," 3.767091e+01","-1.221601e+02","CA","3578","2743","5085","5410","3580","3731","5409","6006","3579","414","3577","4339","3823","1035","3043","4865","4543","4277","5639","5084","6005","4866","2260","4512","4289","3824","1747","4288","323","3044","415","4542","4287","1748","2510","1179","3822","3478","318","4480","1749","4511","3480","3481","1750","4513","319","2512","322","321"
"2260"," 3.767091e+01","-1.221602e+02","CA","3731","3578","5410","3579","2743","1035","5085","6005","3580","5409","4865","5084","3044","3823","4512","2259","414","4288","4339","1749","4543","6006","4866","3822","4542","3824","4277","5639","323","1747","3577","4289","3043","4480","415","322","4287","1179","1748","2510","1750","3481","320","4513","318","4511","3480","3478","2511","319"
"2261"," 4.391628e+01","-1.084864e+02","PACE","2491","2492","2206","638","1158","5786","4318","2739","2740","2737","347","345","346","2852","1938","1414","1276","1277","1275","5906","262","263","436","625","269","2269","270","5899","271","5002","689","3845","4589","5826","5001","4901","4902","4903","3787","2272","2273","3125","2736","3723","3714","3722","3715","3718","3716","3717"
"2262"," 4.093426e+01","-1.177465e+02","NV","1547","5476","3700","1549","3851","316","4482","5238","384","313","1016","3853","315","4169","2729","4582","1161","1229","5940","1548","118","3279","1673","1672","3850","6066","3854","3849","5593","4183","6065","3400","2420","466","3783","5599","314","5788","3784","3246","5692","10","6067","5678","5789","6068","5457","5560","5562","5559"
"2263"," 4.747111e+01","-1.222086e+02","PSE","373","4148","41","3730","3811","5531","715","3632","3123","4022","5724","4004","1855","4871","848","2798","374","166","3216","2400","5046","5273","3061","95","1174","2156","6125","3011","1872","1010","4900","4230","4206","1902","5852","2342","2091","3036","5083","597","4874","6072","5497","2224","2005","4300","338","2522","3418","4694"
"2264"," 4.010263e+01","-1.237929e+02","CA","525","526","2021","2022","229","230","1175","3034","2025","5086","3217","482","1670","4847","2069","99","1114","1115","100","4848","2545","5518","5517","421","5065","5066","3101","613","612","2327","3267","2012","4356","3169","6121","685","5309","3045","4548","4662","703","5568","3973","1875","3898","3897","1874","467","173","4171"
"2265"," 4.546649e+01","-1.227483e+02","PGE","5974","5674","5054","3354","4867","2159","1082","1074","3105","78","4007","5615","6013","4564","3908","3979","5376","3104","2527","4027","4307","5676","3604","4571","1817","5963","4642","4428","2742","5961","2099","4565","430","1011","3603","5006","1494","2049","397","1236","5236","5271","5845","3780","5048","6070","2506","2867","4184","5050"
"2266"," 3.648000e+01","-1.196099e+02","CA","92","1345","1343","2267","4420","5898","785","2819","2916","2644","3777","3885","91","2915","5064","786","3881","1342","1635","1344","5726","3778","765","2918","2950","766","2818","2268","2949","2914","1239","1240","3874","3883","5190","2919","3352","469","1341","1340","2897","3884","2817","899","2917","3882","2816","57","2849","793"
"2267"," 3.648000e+01","-1.196101e+02","CA","92","3777","3881","5898","91","1343","3885","3778","2266","2819","1345","3883","2849","4420","1342","2914","2644","1344","786","3882","2916","899","2268","766","765","5726","1239","5935","2816","1240","2915","1341","2897","2918","5064","3884","3934","2818","5190","1635","793","3886","785","2817","3874","2919","57","5610","2917","5183"
"2268"," 3.659000e+01","-1.195700e+02","CA","793","5726","367","493","5190","5898","5610","3885","4180","2267","5183","3881","1702","1183","899","92","5194","2644","2266","541","3883","3886","2849","3121","3778","2819","5193","4285","5191","3882","4420","91","1344","3777","5424","2970","2971","1184","539","1701","5192","540","1345","1343","1341","1342","469","2914","786","2918"
"2269"," 4.220611e+01","-1.078747e+02","PACE","271","269","625","5899","270","4901","262","4903","4902","5906","263","3721","3717","3722","3723","2736","2168","3714","3716","3718","3715","3473","536","149","5824","2498","884","2735","2775","5439","1850","764","2734","1849","2776","4052","5912","2497","5911","537","763","916","4929","4928","885","2408","4051","915","4075","4678"
"2270"," 3.793780e+01","-1.225142e+02","CA","2337","128","2912","1321","1436","2271","4242","4857","1323","4243","5078","3282","1462","272","4240","273","4919","130","1322","2935","1889","3142","4744","4181","4241","1812","3046","5227","3313","116","5023","1811","5228","1813","366","2827","4299","117","4298","364","2828","754","365","1163","5677","5742","5743","1164","4864","4481"
"2271"," 3.793780e+01","-1.225143e+02","CA","272","2912","2337","1436","128","4857","1322","1321","3046","4242","1889","130","5227","273","4744","1462","4919","4181","4241","2270","3282","4243","1323","3142","116","2935","5078","3313","4240","5023","1813","4299","117","5228","1812","4298","1811","366","2828","2827","364","754","365","5677","4864","1163","4481","3482","1164","5742"
"2272"," 4.176583e+01","-1.117844e+02","PACE","3125","3787","4589","2273","5002","5001","689","3845","5826","3964","3965","2002","3966","436","1277","1276","1414","1275","1938","346","347","345","3949","3948","3946","3947","5786","4318","1158","638","2206","3240","3239","2261","2492","2491","2240","2242","2243","2241","2239","2244","2739","2740","2737","2079","5074","5075","2080","2852"
"2273"," 4.176583e+01","-1.117845e+02","PACE","3787","5002","3125","2272","5001","3845","689","4589","5826","3964","2002","3965","3966","436","1277","1414","1275","1276","1938","346","347","345","3948","3949","3946","3947","1158","5786","4318","638","2206","3239","3240","2261","2492","2491","2240","2242","2243","2239","2241","2244","2739","2740","2737","5074","2079","5075","2080","2852"
"2274"," 3.598683e+01","-1.149759e+02","NV","2275","5914","6113","4144","3522","538","1434","1435","5834","4142","5310","5304","5107","4581","5916","3735","4035","6094","3521","1432","3933","4350","277","4330","4975","5915","5913","681","245","1433","5108","3620","3519","4331","977","4329","5951","5949","2115","2370","5836","3520","3619","5950","3063","986","985","984","4689","3103"
"2275"," 3.598675e+01","-1.149758e+02","NV","2274","4144","4581","6113","3103","4142","5914","5107","6094","2370","3933","3063","3521","5834","4143","3519","2921","3619","2115","277","4035","3735","3234","3522","538","1113","977","5304","1434","5302","3932","3520","245","4329","1435","2396","276","5835","5916","5310","5108","5951","275","4350","1432","40","986","5836","5913","1433"
"2276"," 3.598675e+01","-1.149759e+02","NV","4322","3422","2036","4594","2980","1911","2724","4968","4332","1777","3872","3634","311","5468","1899","2023","4023","3833","5462","4025","4573","3841","4340","4385","2222","1976","4227","5461","2981","4017","2351","2558","2979","4058","582","2976","2996","1988","2490","3207","2651","2751","2600","3852","4488","3856","5554","2154","1490","5714"
"2277"," 4.315453e+01","-1.233721e+02","PACW","4154","487","1019","4263","4191","4463","4265","4602","2169","1261","2088","4166","5814","1091","5088","5493","5887","917","1629","4464","4904","1017","1136","5204","1946","791","3477","5934","5492","1024","1513","5595","4040","3893","4328","4077","1937","747","5491","3399","1454","5944","2548","1397","5181","1018","1145","4020","2984","4967"
"2278"," 3.951970e+01","-1.197236e+02","NV","353","5099","5715","5095","5210","760","4615","2287","4614","2172","2033","756","3613","3129","55","4089","5098","5211","534","1270","2282","134","5551","5206","4664","2899","49","5177","2174","762","2164","5207","761","1269","133","5178","2286","5096","5212","5555","1347","3499","4088","1486","4665","757","2283","5209","2166","535"
"2279"," 3.951970e+01","-1.197235e+02","NV","1512","2037","2172","3613","5207","5441","1072","55","2282","5550","1619","2171","2285","756","133","1269","369","3129","5555","5213","4663","1485","4665","5099","1924","2278","762","5713","5211","1489","52","1877","760","3670","2174","1488","53","134","1886","5096","4089","5715","577","534","2287","5281","4018","49","4614","1226"
"2280"," 3.951961e+01","-1.197235e+02","NV","4615","353","1878","3613","50","760","55","5716","2173","4089","5553","5207","3863","5098","1486","1922","5211","5205","134","2172","5281","5177","534","576","5441","4416","5099","3669","5550","1613","4614","369","5549","4087","759","579","1620","2174","56","2287","4663","5715","5178","1512","4018","133","1269","5555","2165","5283"
"2281"," 3.951955e+01","-1.197235e+02","NV","4681","184","1089","4322","4439","3872","4573","5468","2428","3296","2752","753","5440","5943","2763","4386","468","1899","3745","2198","1907","3131","2490","2666","1976","2194","2996","3997","941","4252","2558","4680","4025","2228","1988","4023","329","2995","5032","3994","2222","2468","2603","3842","3668","2429","175","2138","2365","3329"
"2282"," 3.951953e+01","-1.197237e+02","NV","3613","2171","762","759","4663","55","4018","4089","4019","3129","4416","2172","1485","1072","2278","5716","3670","5177","353","2279","5099","1270","2037","5206","5551","1925","760","578","5713","1269","2166","2173","5761","4665","133","4614","603","577","5098","5100","3441","579","534","2164","5549","4211","5211","369","5715","5205"
